,Id,L1_S24_F1510,L1_S24_F1525,L1_S24_F1559,L1_S24_F1582,L1_S24_F1827,L3_S32_F3851,L3_S32_F3854,L3_S30_D3496,L3_S30_D3501,L3_S30_D3506,L3_S30_D3511,L3_S30_D3516,L3_S33_D3856,StartTime,test_1,test_2,test_3,test_4,L0_S0_F0,L0_S0_F16,L0_S0_F20,L1_S24_F1604,L1_S24_F1632,L1_S24_F1695,L1_S24_F1723,L1_S24_F1846,L3_S29_F3407,L3_S30_F3749,L3_S30_F3759,L3_S32_F3850,L3_S33_F3855,L3_S33_F3865,L3_S38_F3952,Response,mindate,mindate_id_diff,mindate_id_diff_reverse
69,142,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00570678999824,0.0135473876919,0.0,0.023,0.183,-0.313,,,,,,0.082,-0.009,-0.132,,-0.029,-0.03,0.002,0,551.21,1.0,-4776.0
71,146,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0448195576251,0.00615479476415,0.00615480577731,0.00615637498544,0.00615637498544,0.00615637498544,0.0,0.0,0.00568469349887,0.00732285160457,0.00574851814646,0.0263157894737,-0.036,0.102,-0.197,,,,,,0.063,0.033,0.016,-0.055,-0.119,0.01,,0,1164.57,-2016841.0,-5048.0
73,153,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00570678999824,0.0135473876919,0.0752187411798,0.095,0.138,0.136,,,,,,-0.702,-0.162,0.096,,-0.074,0.124,,0,96.42,1.0,-1.0
75,159,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633065828001,0.00574228697231,0.00574851814646,0.0,-0.049,0.0,0.106,,,,,,0.057,0.18,-0.086,,0.108,-0.039,,0,877.14,-2353409.0,-6000.0
77,162,0.0089159864949,0.00892351045395,0.00897940291599,0.194805194805,0.00893572627345,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00574228697231,0.00574851814646,0.0,,,,,,0.043,0.036,0.181,0.063,-0.036,0.093,,0.153,-0.03,,0,1042.79,-2352633.0,-3344.0
79,165,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.00591507973527,0.00574228697231,0.00574851814646,0.0,,,,,,,,,0.082,-0.028,0.131,,-0.074,-0.299,,0,1378.3,-2366375.0,-5507.0
81,169,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633065828001,0.00609756097561,0.00574851814646,0.0,0.108,0.066,0.198,,,,,,0.101,0.05,-0.14,,-0.119,-0.022,,0,653.85,-2364822.0,-8841.0
83,175,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0752187411798,-0.055,-0.169,0.339,,,,,,0.037,0.112,-0.04,,0.108,0.01,,0,370.81,-893917.0,-1.0
85,177,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.0060099489019,0.0135473876919,0.0,-0.055,-0.169,0.339,,,,,,0.037,0.112,-0.04,,0.108,0.01,-0.002,0,370.81,1.0,-12542.0
87,181,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.0060099489019,0.00574851814646,0.0,-0.042,-0.021,-0.301,,,,,,0.104,0.314,0.102,,-0.029,0.148,,0,1449.22,-2333081.0,-22742.0
89,184,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.0135473876919,0.0,-0.167,-0.199,-0.245,,,,,,0.063,0.122,0.168,,0.062,0.124,0.002,0,1112.6,1.0,-4397.0
91,187,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00574228697231,0.00574851814646,0.0,,,,,,,,,0.037,0.243,0.126,,-0.119,0.01,,0,266.35,-1689234.0,-2653.0
93,190,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00574228697231,0.00574851814646,0.0,,,,,,,,,0.101,-0.034,-0.143,,-0.029,-0.039,,0,687.9,-1977208.0,-2656.0
95,192,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00609756097561,0.00574851814646,0.0,0.069,-0.005,-0.121,,,,,,0.101,-0.037,-0.117,,0.153,-0.12,,0,673.36,-2128844.0,-10500.0
97,200,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0833333333333,0.0833333333333,0.0833333333333,0.0833333333333,0.0833333333333,0.0,0.0666666666667,0.00633065828001,0.00574228697231,0.00574851814646,0.0,-0.036,0.076,-0.175,,,,,,0.082,-0.127,0.052,,-0.074,0.181,,0,576.73,-2304928.0,-6746.0
99,205,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00543507652371,0.00574228697231,0.00574851814646,0.0,-0.108,-0.194,-0.155,,,,,,0.104,0.197,0.08,,0.108,0.189,,0,1658.58,-2364436.0,-4747.0
101,208,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00574228697231,0.0135473876919,0.0,0.128,0.0,0.126,,,,,,-0.752,-0.152,-0.035,,-0.029,-0.12,-0.002,0,168.47,1.0,-8567.0
103,216,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.25,0.0769230769231,0.00598006644518,0.00609756097561,0.00574851814646,0.0,-0.095,0.132,-0.334,,,,,,0.082,-0.016,0.106,,-0.029,0.067,,0,1331.15,-2299335.0,-5959.0
105,223,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00570678999824,0.00574851814646,0.0,0.154,-0.026,-0.27,,,,,,0.063,-0.042,0.136,,-0.119,0.157,,0,1107.61,-2366742.0,-9285.0
107,229,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.00633065828001,0.00570678999824,0.00574851814646,0.0,,,,,,,,,0.082,-0.049,-0.029,,-0.029,-0.014,,0,1328.0,-2323013.0,-57389.0
109,235,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633065828001,0.0060099489019,0.00574851814646,0.0,,,,,,,,,0.082,-0.049,0.185,,-0.119,0.026,,0,1313.6,-2252062.0,-3766.0
111,240,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633065828001,0.0060099489019,0.00574851814646,0.0,,,,,,,,,-0.029,-0.166,-0.021,,0.108,-0.144,,0,179.67,-2299222.0,-5459.0
113,244,0.0089159864949,0.00892351045395,0.00897940291599,0.194805194805,0.00893572627345,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00574228697231,0.00574851814646,0.0,,,,-0.008,0.018,,,-0.097,0.057,-0.139,-0.07,,-0.029,-0.185,,0,790.6,-2361982.0,-3798.0
115,246,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,-0.036,-0.158,0.03,,,,,,0.037,0.183,0.142,,0.062,0.1,,0,273.13,-2315927.0,-4662.0
117,248,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,-0.023,-0.194,-0.071,,,,,,0.037,0.274,-0.119,,-0.165,-0.014,,0,393.24,-2306266.0,-4287.0
119,250,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00540177371674,0.00574851814646,0.0,,,,,,,,,-0.68,-0.165,-0.025,,0.153,0.035,,0,156.89,-2194682.0,-57736.0
121,255,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,,,,,,,,,0.082,-0.136,-0.104,,-0.029,-0.014,,0,466.85,-2366709.0,-1895.0
123,257,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,0.049,-0.041,0.113,,,,,,0.057,0.156,-0.133,,-0.029,0.067,,0,905.48,-2292913.0,-2618.0
125,259,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.0060099489019,0.00574851814646,0.0,,,,,,,,,0.015,-0.175,-0.109,,0.017,0.01,,0,238.8,-2275404.0,-3346.0
127,264,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633065828001,0.00574228697231,0.0135473876919,0.00640403168119,-0.029,0.061,0.169,,,,,,0.104,0.268,0.062,,0.199,0.026,-0.006,0,1557.54,1.0,-75407.0
129,268,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633065828001,0.00574228697231,0.00574851814646,0.0,,,,,,,,,0.082,-0.142,-0.125,,-0.029,0.002,,0,582.65,-2308711.0,-5615.0
131,277,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00765306122449,0.00570678999824,0.00574851814646,0.00640403168119,-0.042,-0.112,0.191,,,,,,0.037,0.067,-0.072,,0.017,0.132,,0,375.67,-2327014.0,-418929.0
133,282,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.0060099489019,0.00574851814646,0.0,,,,,,,,,0.063,0.079,0.091,,-0.21,-0.136,,0,1023.85,-2357268.0,-4240.0
135,285,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,,,,,,,,,0.082,-0.058,0.035,,-0.029,-0.055,,0,1328.78,-2367183.0,-79488.0
137,287,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,-0.114,0.036,0.205,,,,,,0.082,-0.104,-0.003,,0.062,-0.055,,0,1361.64,-2360224.0,-3263.0
139,290,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.0060099489019,0.00574851814646,0.0,0.095,0.25,0.032,,,,,,0.082,-0.158,-0.096,,-0.029,0.01,,0,539.25,-2360781.0,-2334.0
141,293,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.0060099489019,0.00574851814646,0.0,0.003,0.051,-0.055,,,,,,0.082,-0.13,0.165,0.006,0.017,0.026,,0,1339.1,-2364068.0,-9470.0
143,297,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00732285160457,0.00574851814646,0.00640403168119,,,,,,,,,0.037,0.171,0.124,,0.153,0.132,,0,281.78,-2106889.0,-114716.0
145,304,0.0089159864949,0.00892351045395,0.00897940291599,0.194805194805,0.00893572627345,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00570678999824,0.00574851814646,0.0,,,,,,-0.007,-0.006,0.111,0.037,0.291,-0.13,,0.108,-0.079,,0,368.02,-2312026.0,-4025.0
147,308,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,,,,,,,,,-0.029,-0.177,-0.043,,-0.029,-0.055,,0,188.93,-2366198.0,-2262.0
149,312,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633065828001,0.0060099489019,0.00574851814646,0.0,0.075,-0.077,-0.057,,,,,,0.057,-0.171,-0.137,,-0.074,-0.104,,0,634.83,-2360969.0,-5173.0
151,315,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,-0.023,-0.118,-0.027,,,,,,0.057,-0.162,-0.127,,0.017,-0.12,,0,638.67,-2366952.0,-4883.0
