,Id,start_date,start_date_id_diff,start_date_id_diff_reverse,L1_S24_F1559,L3_S32_F3851,L1_S24_F1827,L1_S24_F1582,L3_S32_F3854,L1_S24_F1510,L1_S24_F1525,L3_S30_start_date,start_date_OOF,start_date_id_diff_OOF,start_date_id_diff_reverse_OOF,L1_S24_F1559_OOF,L3_S32_F3851_OOF,L1_S24_F1827_OOF,L1_S24_F1582_OOF,L3_S32_F3854_OOF,L1_S24_F1510_OOF,L1_S24_F1525_OOF,L3_S30_start_date_OOF
40,91,520.01,-2281463,-123270,0,0,0,0,0,0,0,521.06,0.0,0.00588929271625,0.00644950904392,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
41,92,1496.77,-2356827,-54141,0,0,0,0,0,0,0,1499.0,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
42,93,1096.09,-2357359,-56900,0,0,0,0,0,0,0,1097.58,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
44,96,1249.58,-2367366,-3429,0,0,0,0,0,0,0,1260.59,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
45,97,1295.75,-2364960,-66601,0,0,0,0,0,0,0,1300.23,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
49,103,1443.16,-2349493,-3267,0,0,0,0,0,0,0,-9.0,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.00558885974772
53,112,936.79,-2316529,-3057,0,0,0,0,0,0,0,940.74,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
54,115,80.54,1,-3619,0,0,0,0,0,0,0,87.16,0.0,0.0124554660981,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
56,118,904.17,-2303677,-3873,0,0,0,0,0,0,0,907.99,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
57,120,1412.92,-2364899,-40451,0,0,0,0,0,0,0,-9.0,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.00558885974772
59,123,591.9,-2364951,-77267,0,0,0,0,0,0,0,603.11,0.0,0.00588929271625,0.00644950904392,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
60,124,87.48,-2358472,-6601,0,0,0,0,0,0,0,89.89,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
61,125,609.39,-2328700,-29602,0,0,0,0,0,0,0,611.3,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
63,127,978.11,-2315264,-3253,1,0,1,0,0,2,2,994.2,0.0,0.00588929271625,0.0,0.00947217644431,0.00503915232171,0.00939583144813,0.00582041315309,0.00503915232171,0.00804162724693,0.00764058679707,0.0
64,131,1272.52,-2365902,-5255,0,0,0,0,0,0,0,1278.73,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
65,135,139.45,-2361280,-71697,0,0,0,0,0,0,0,139.97,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
66,136,1374.2,-2360706,-4759,0,0,0,0,0,0,0,-9.0,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.00558885974772
67,137,706.65,-2180660,-246773,1,0,1,0,0,3,3,743.4,0.0,0.00588929271625,0.00644950904392,0.00947217644431,0.00503915232171,0.00939583144813,0.00582041315309,0.00503915232171,0.00944567917375,0.0094374686899,0.0
69,142,551.21,1,-4776,0,0,0,0,0,0,0,552.99,0.0,0.0124554660981,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
70,145,634.52,-2307734,-7411,0,0,0,0,0,0,0,637.18,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
71,146,1164.57,-2016841,-5048,0,1,0,0,15,0,0,1170.82,0.0,0.00588929271625,0.03125,0.00540415494186,0.0492996682639,0.00540311372965,0.00582041315309,0.0433295324971,0.00540296992245,0.00540319668548,0.0
72,152,96.42,-2365020,-1,0,0,0,0,0,0,0,99.14,0.0,0.00588929271625,0.0743275594987,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
75,159,877.14,-2353409,-6000,0,0,0,0,0,0,0,887.24,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
76,160,0.71,-1910950,-4524,0,0,0,0,0,0,0,0.71,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.125
81,169,653.85,-2364822,-8841,0,0,0,0,0,0,0,655.43,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
83,175,370.81,-893917,-1,0,0,0,0,0,0,0,373.4,0.0,0.00588929271625,0.0743275594987,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
87,181,1449.22,-2333081,-22742,0,0,0,0,0,0,0,1449.78,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
88,183,1112.6,1,-1,0,0,0,0,0,0,0,1115.22,0.0,0.0124554660981,0.0743275594987,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
89,184,1112.6,1,-4397,0,0,0,0,0,0,0,1115.22,0.0,0.0124554660981,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
90,185,610.8,-2366494,-4001,0,0,0,0,0,0,0,616.89,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
91,187,266.35,-1689234,-2653,0,0,0,0,0,0,0,267.98,0.0,0.00588929271625,0.015873015873,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
92,188,679.13,-2366574,-8262,0,0,0,0,0,0,0,-9.0,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.00558885974772
95,192,673.36,-2128844,-10500,0,0,0,0,0,0,0,675.56,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
96,197,1161.06,1,-1445,0,0,0,0,0,0,0,1165.66,0.0,0.0124554660981,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
97,200,576.73,-2304928,-6746,0,0,0,0,0,0,0,584.3,0.0588235294118,0.0,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0714285714286
103,216,1331.15,-2299335,-5959,0,0,0,0,0,0,0,1339.36,0.0714285714286,0.0,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.5
104,221,687.03,-2309631,-3096,0,0,0,0,0,0,0,689.11,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
108,232,804.4,-2362220,-10190,1,0,1,0,0,3,3,808.66,0.0,0.00588929271625,0.0,0.00947217644431,0.00503915232171,0.00939583144813,0.00582041315309,0.00503915232171,0.00944567917375,0.0094374686899,0.0
111,240,179.67,-2299222,-5459,0,0,0,0,0,0,0,181.27,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
115,246,273.13,-2315927,-4662,0,0,0,0,0,0,0,274.38,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
116,247,974.82,-2281334,-336212,0,0,0,0,0,0,0,976.6,0.0,0.00588929271625,0.00644950904392,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
118,249,785.97,-2365766,-4168,0,0,0,0,0,0,0,795.07,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
120,254,1107.55,1,-2642,0,0,0,0,0,0,0,1108.25,0.0,0.0124554660981,0.0128205128205,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
122,256,1112.99,-2363349,-2387,0,0,0,0,0,0,0,1115.67,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
124,258,977.85,-2340388,-6133,0,0,0,0,0,0,0,1020.65,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
127,264,1557.54,1,-75407,0,0,0,0,0,0,0,1561.35,0.0,0.0124554660981,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
128,265,1239.18,-2367215,-71069,0,0,0,0,0,0,0,1242.07,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
129,268,582.65,-2308711,-5615,0,0,0,0,0,0,0,586.2,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
131,277,375.67,-2327014,-418929,0,0,0,0,0,0,0,389.78,0.0,0.00588929271625,0.00644950904392,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
132,280,641.79,1,-3112,0,0,0,0,0,0,0,643.48,0.0,0.0124554660981,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
138,288,1316.0,-2360806,-43057,0,0,0,0,0,0,0,1325.33,0.0,0.00588929271625,0.00644950904392,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
139,290,539.25,-2360781,-2334,0,0,0,0,0,0,0,550.83,0.0,0.00588929271625,0.030303030303,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
140,292,676.41,-2325022,-70912,1,0,1,0,0,3,3,718.38,0.0,0.00588929271625,0.00644950904392,0.00947217644431,0.00503915232171,0.00939583144813,0.00582041315309,0.00503915232171,0.00944567917375,0.0094374686899,0.0
141,293,1339.1,-2364068,-9470,0,0,0,0,0,0,0,1342.35,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
142,295,702.76,-2316860,-2852,0,0,0,0,0,0,0,704.74,0.0,0.0,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
143,297,281.78,-2106889,-114716,0,0,0,0,0,0,0,288.28,0.0,0.00588929271625,0.00644950904392,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
144,303,706.52,-2363610,-3574,1,0,1,0,0,3,3,742.69,0.0,0.00588929271625,0.0,0.00947217644431,0.00503915232171,0.00939583144813,0.00582041315309,0.00503915232171,0.00944567917375,0.0094374686899,0.0
146,307,201.98,-2364503,-53043,0,0,0,0,0,0,0,202.29,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
149,312,634.83,-2360969,-5173,0,0,0,0,0,0,0,638.45,0.111111111111,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0909090909091
150,314,1158.45,-2366494,-6085,1,0,1,0,0,3,3,1180.72,0.0,0.00588929271625,0.0,0.00947217644431,0.00503915232171,0.00939583144813,0.00582041315309,0.00503915232171,0.00944567917375,0.0094374686899,0.0
151,315,638.67,-2366952,-4883,0,0,0,0,0,0,0,640.66,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
154,320,1382.16,-784012,-8524,0,0,0,0,0,0,0,1388.68,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
156,322,681.03,-2228462,-3849,0,0,0,0,0,0,0,721.55,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
159,325,230.22,-2361802,-62988,0,0,0,0,0,0,0,231.54,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
160,327,688.17,-2366746,-3563,0,0,0,0,0,0,0,691.61,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
161,328,1591.22,-2309719,-5626,0,0,0,0,0,0,0,1592.66,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
162,330,1662.79,-2364693,-12931,0,0,0,0,0,0,0,1664.24,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
165,336,68.98,-2366641,-26111,0,0,0,0,0,0,0,71.1,0.0,0.0,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
166,337,1115.18,-2284772,-56679,0,0,0,0,0,0,0,1121.88,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
167,339,668.26,-2366582,-9367,1,0,1,0,0,4,4,708.69,0.0,0.00588929271625,0.0,0.00947217644431,0.00503915232171,0.00939583144813,0.00582041315309,0.00503915232171,0.0120643431635,0.0117035110533,0.0
170,344,490.05,-2364915,-7066,0,0,0,0,0,0,0,491.26,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
171,347,1408.69,-823458,-3821,0,0,0,0,0,0,0,1410.0,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
172,351,608.83,-2318518,-4591,0,0,0,0,0,0,0,610.73,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
178,362,188.38,-2318866,-3716,0,0,0,0,0,0,0,188.94,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
182,366,116.48,-2362327,-84411,0,0,0,0,0,0,0,118.47,0.0,0.00588929271625,0.00644950904392,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
183,368,205.19,-2263184,-3762,0,0,0,0,0,0,0,205.91,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
186,376,838.51,-2358616,-8561,0,0,0,0,0,0,0,880.25,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
187,377,323.22,-2365850,-59134,0,0,0,0,0,0,0,324.42,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
188,379,678.68,-2366266,-62070,1,0,1,0,0,3,3,722.72,0.0,0.00588929271625,0.0,0.00947217644431,0.00503915232171,0.00939583144813,0.00582041315309,0.00503915232171,0.00944567917375,0.0094374686899,0.0
189,382,736.06,-2351173,-40195,0,0,0,0,0,0,0,760.36,0.0,0.00588929271625,0.00644950904392,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
190,383,704.82,-2366774,-67748,1,0,1,0,0,3,3,742.81,0.0,0.00588929271625,0.0,0.00947217644431,0.00503915232171,0.00939583144813,0.00582041315309,0.00503915232171,0.00944567917375,0.0094374686899,0.0
192,387,653.6,-2364861,-74229,0,0,0,0,0,0,0,655.29,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
194,389,707.03,-2348521,-30496,1,0,1,0,0,3,3,745.23,0.0,0.00588929271625,0.00644950904392,0.00947217644431,0.00503915232171,0.00939583144813,0.00582041315309,0.00503915232171,0.00944567917375,0.0094374686899,0.0
199,400,770.05,-2363357,-4419,1,0,1,0,0,3,3,786.88,0.0,0.00588929271625,0.0,0.00947217644431,0.00503915232171,0.00939583144813,0.00582041315309,0.00503915232171,0.00944567917375,0.0094374686899,0.0
200,401,1445.22,-2365206,-4614,0,0,0,0,0,0,0,1445.78,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
201,403,1105.41,-2366615,-70378,0,0,0,0,0,0,0,1107.05,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
203,405,1584.49,1,-5083,0,0,0,0,0,0,0,1591.65,0.0,0.0124554660981,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
204,406,620.5,-805225,-52821,0,0,0,0,0,0,0,622.84,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
205,407,281.89,-2351182,-32001,0,0,0,0,0,0,0,288.07,0.25,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.2
209,416,1141.94,-2355193,-48294,0,0,0,0,0,0,0,1143.41,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
210,421,1643.67,-2365835,-59606,0,0,0,0,0,0,0,1646.36,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
212,425,1059.82,-1565101,-71428,1,0,1,0,0,3,3,1089.32,0.0,0.00588929271625,0.0,0.00947217644431,0.00503915232171,0.00939583144813,0.00582041315309,0.00503915232171,0.00944567917375,0.0094374686899,0.0
213,427,509.05,-2119026,-1,0,0,0,0,0,0,0,510.49,0.0,0.00588929271625,0.0743275594987,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
214,428,509.05,1,-2173,0,0,0,0,0,0,0,510.49,0.0,0.0124554660981,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
217,431,1650.38,-2098278,-3536,0,0,0,0,0,0,0,1652.62,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
219,435,1313.53,-2314464,-4989,0,0,0,0,0,0,0,1316.69,0.0,0.0,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
220,436,203.6,-2333730,-3053,0,0,0,0,0,0,0,204.49,0.125,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
221,439,1394.41,1,-54298,0,0,0,0,0,0,0,1395.04,0.0,0.0124554660981,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
224,442,975.36,-2364945,-57850,0,0,0,0,0,0,0,978.05,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
225,444,190.9,-2356190,-3811,0,0,0,0,0,0,0,191.21,0.1,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.142857142857
227,450,551.19,-2336085,-6235,0,0,0,0,0,0,0,552.85,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
